Search Term,vegetarian restaurants near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,33
2016-12-03,36
2016-12-10,40
2016-12-17,47
2016-12-24,46
2016-12-31,50
2017-01-07,52
2017-01-14,44
2017-01-21,43
2017-01-28,37
2017-02-04,35
2017-02-11,45
2017-02-18,50
2017-02-25,49
2017-03-04,43
2017-03-11,40
2017-03-18,50
2017-03-25,56
2017-04-01,51
2017-04-08,59
2017-04-15,43
2017-04-22,52
2017-04-29,43
2017-05-06,54
2017-05-13,55
2017-05-20,56
2017-05-27,65
2017-06-03,57
2017-06-10,55
2017-06-17,64
2017-06-24,70
2017-07-01,68
2017-07-08,68
2017-07-15,72
2017-07-22,58
2017-07-29,57
2017-08-05,66
2017-08-12,78
2017-08-19,75
2017-08-26,93
2017-09-02,74
2017-09-09,84
2017-09-16,89
2017-09-23,94
2017-09-30,75
2017-10-07,75
2017-10-14,75
2017-10-21,64
2017-10-28,63
2017-11-04,56
2017-11-11,50
2017-11-18,56
2017-11-25,44
2017-12-02,48
2017-12-09,44
2017-12-16,52
2017-12-23,65
2017-12-30,61
2018-01-06,62
2018-01-13,63
2018-01-20,67
2018-01-27,65
2018-02-03,62
2018-02-10,81
2018-02-17,73
2018-02-24,76
2018-03-03,82
2018-03-10,80
2018-03-17,68
2018-03-24,74
2018-03-31,65
2018-04-07,57
2018-04-14,49
2018-04-21,55
2018-04-28,57
2018-05-05,67
2018-05-12,63
2018-05-19,63
2018-05-26,67
2018-06-02,74
2018-06-09,82
2018-06-16,80
2018-06-23,77
2018-06-30,85
2018-07-07,96
2018-07-14,92
2018-07-21,88
2018-07-28,92
2018-08-04,88
2018-08-11,74
2018-08-18,60
2018-08-25,75
2018-09-01,66
2018-09-08,48
2018-09-15,67
2018-09-22,60
2018-09-29,60
2018-10-06,59
2018-10-13,61
2018-10-20,57
2018-10-27,57
2018-11-03,50
2018-11-10,60
2018-11-17,57
2018-11-24,53
2018-12-01,53
2018-12-08,50
2018-12-15,57
2018-12-22,77
2018-12-29,75
2019-01-05,61
2019-01-12,57
2019-01-19,51
2019-01-26,47
2019-02-02,54
2019-02-09,54
2019-02-16,63
2019-02-23,52
2019-03-02,63
2019-03-09,62
2019-03-16,62
2019-03-23,70
2019-03-30,68
2019-04-06,72
2019-04-13,76
2019-04-20,67
2019-04-27,74
2019-05-04,70
2019-05-11,71
2019-05-18,67
2019-05-25,72
2019-06-01,66
2019-06-08,76
2019-06-15,89
2019-06-22,80
2019-06-29,84
2019-07-06,74
2019-07-13,85
2019-07-20,85
2019-07-27,89
2019-08-03,78
2019-08-10,81
2019-08-17,83
2019-08-24,59
2019-08-31,76
2019-09-07,59
2019-09-14,61
2019-09-21,68
2019-09-28,62
2019-10-05,69
2019-10-12,65
2019-10-19,60
2019-10-26,60
2019-11-02,74
2019-11-09,69
2019-11-16,76
2019-11-23,80
2019-11-30,65
2019-12-07,70
2019-12-14,67
2019-12-21,97
2019-12-28,100
2020-01-04,68
2020-01-11,72
2020-01-18,72
2020-01-25,57
2020-02-01,59
2020-02-08,78
2020-02-15,66
2020-02-22,65
